1,"Москва, шоссе Варшавское, 120 сооружение"
2,"Москва, шоссе Варшавское, д 120 к 2"
3,"Москва, ул. Паршина, 14"
4,"Москва, Ленинский пр-т, 67к2"
5,"Москва, ул. дмитриевского, 16"
6,"Москва, улица Эдварда Грига, 17"
7,"Москва, ул. Академика Анохина, 56"
8,"Москва, Волгоградский проспект, 43к3"
9,"Москва, ул. Вилиса Лациса, 30с2"
10,"Москва, ул. Вилиса Лациса, 42"
11,"Москва, ул. Твардовского, 12"
12,"Москва, ул. Большая Переяславская, 52с1"
13,"Зеленоград, 846"
14,"Зеленоград, 2036"
15,"Зеленоград, 845"
16,"Зеленоград, 2022"
17,"Зеленоград, 2008"
18,"Зеленоград, ул. Новокрюковская, 3А"
19,"Зеленоград, ул. Андреевка, 31"
20,"Москва, ул. Ландышевая, 12"
21,"Москва, ул. Бахрушина, 13"
22,"Москва, Скандинавский бульвар, 7"
23,"Москва, ул. Агрохимиков, 15 А"
24,"Москва, ул. Корнейчука, 31"
25,"Москва, ул. Красных зорь, 33а"
26,"Коммунарка, п. Сосенское, ул. Ясная, 11"
27,"Москва, ул. Киевская, 7"
28,"Москва, Шелепихинская наб, 34к3"
29,"Москва, Зелёный пр-т, 27а"
30,"Москва, ул. Академика Анохина, 10"
31,"Москва, ул. Эдварда грига, 17"
32,"Москва, ул. Маршала Тимошенко, 17к1"
33,"Москва, ул. Каховка, 23к5"
34,"Москва, ул. Дмитриевского, 16"
35,"Москва, ул. Поляны, 5"
36,"Москва, ул. Народного ополчения, 15к2"
37,"Москва, Мичуринский проспект, 80"
38,"Москва, ул. Героев Панфиловцев, 7к3"
39,"Москва, Севастопольский проспект, 28к8"
40,"Москва, ул. Эдварда Грига, 15"
41,"Москва, ул. Поляны, 5"
42,"Москва, ул. Римского-Корсакова, 11с12"
43,"Москва, ул. Поляны, 5ак1"
44,"Москва, ул. Красного маяка, 22а"
45,"Москва, ул. Римского-Корсакова, 11с12"
46,"Москва, Ленинский проспект, 127с1"
47,"Москва, ул. Вавилова, 5к1"
48,"Москва, Севастопольский проспект, 51"
49,"Москва, ул. Екатерины Будановой, 5с2"
50,"Москва, ул. Улофа Пальме, 1"
51,"Москва, ул. Поляны, 5ак2"
52,"Москва, ул. Твардовского, 12к2"
53,"Москва, ул. Удальцова, 1к1"
54,"Москва, Маршала Жукова проспект, 30"
55,"Москва, шоссе Энтузиастов, 1к2"
56,"Москва, Карамышевская наб, 2а"
57,"Москва, ул. Поляны, 5ак1"
58,"Москва, Ленинский проспект, 83б"
59,"Москва, ул. Василисы Кожиной, 13"
60,"Москва, Ленинский проспект, 83б"
61,"Москва, ул. Маршала Захарова, 2"
62,"Москва, Чапаевский переулок, 3"
63,"Москва, Коломенская набережная, 12"
64,"Зеленоград, к2036"
65,"Москва, Дмитровское шоссе, 163с17"
66,"Москва, Большой Козловский переулок, 13/17"
67,"Москва, 2-я Черногрязская улица, 11/15"
68,"Москва, ул. Орджоникидзе, 11с1/2"
69,"Москва, ул. Крылатские Холмы, 35А"
70,"Москва, ул. Татарская, 7с1"
71,"Москва, ул.Трофимова, 36к1"
72,"Москва, Бродников переулок, 10к1"
73,"Москва, Переведеновский переулок, 21с7"
74,"Москва, Рублёвское шоссе, 1"
75,"Москва, 5-я Северная линия"
76,"Москва, 1-й Нижний Михайловский проезд, 18с5"
77,"Москва, Варсонофьевский переулок, 6"
78,"Москва, 2-й Силикатный проезд, 9с2"
79,"Москва, Мичуринский проспект, 80"
80,"Москва, ул. Хавская, 3"
81,"Москва, Балаклавский проспект, 5"
82,"Москва, ул. Флотская, 2"
83,"Москва, Ленинградский проспект, 76к3"
84,"Москва, Каширское шоссе, 65к3"
85,"Москва, ул. Илимская, 5к2"
86,"Москва, Ленинский проспект, 99А"
87,"Москва, ул. Люблинская, 14А"
88,"Москва, Кутузовский проспект, 26к1"
89,"Москва, проспект 60-летия Октября, 19к1"
90,"Москва, Балаклавский проспект, 1"
91,"Москва, Зелёный проспект, 77к2"
92,"Москва, проезд Дежнёва, вл9"
93,"Москва, ул. Дубнинская, 75с9"
94,"Москва, Варшавское шоссе, 152к1"
95,"Москва, ул. МЖД Киевское 5-й км, 5"
96,"Москва, Коломенская набережная, 12"
97,"Москва, ул. Поликарпова, 23"
98,"Москва, Алтуфьевское шоссе, 5А"
99,"Москва, 5-й Войковский проезд, 5"
